公告日期,净利润,净利润_同比增长,净利润_季度环比增长,净资产收益率,利润分配,每股净资产,每股收益,每股经营现金流量,股票代码,股票简称,营业收入,营业收入_同比增长,营业收入_季度环比增长,销售毛利率
2018-03-10T00:00:00,35849183.08,-17.7307369,144.1989,7.59,10派2.5,8.636979,0.64,-1.66235599,300557,理工光科,224291012.37,7.98820975,12.7331,34.89227685
2018-03-10T00:00:00,49621887.64,0.56572444,5.2533,3.27,10派0.9,4.12410365,0.13,-0.09994982,002286,保龄宝,1592996189.38,15.65036544,-2.1998,13.40154221
2018-03-10T00:00:00,305551094.9,66.64870275,-12.224,9.49,10派1.5,5.29510399,0.49,0.63010834,601137,博威合金,5757801128.08,35.71151351,1.6657,13.82286766
2018-03-10T00:00:00,140216258.28,26.70600085,-92.6399,5.79,10派2,5.62506246,0.3196,1.28766075,200026,飞亚达B,3345809703.98,11.75554656,-0.6801,40.62266634
2018-03-10T00:00:00,210089060.45,-34.08370071,-1.1757,15.47,10派1.3,5.81525061,0.5493,0.14358594,603303,得邦照明,4031353922.16,24.98308904,-4.5847,14.57914245
2018-03-10T00:00:00,35849183.08,-17.7307369,144.1989,7.59,10派2.5,8.636979,0.64,-1.66235599,300557,理工光科,224291012.37,7.98820975,12.7331,34.89227685
2018-03-10T00:00:00,49621887.64,0.56572444,5.2533,3.27,10派0.9,4.12410365,0.13,-0.09994982,002286,保龄宝,1592996189.38,15.65036544,-2.1998,13.40154221
2018-03-09T00:00:00,176098749.52,62.17688811,77.4752,9.02,10派1.5,6.17266418,0.542,0.69283419,000799,酒鬼酒,878331383.51,34.12698178,80.7355,77.94284026
2018-03-08T00:00:00,-252192.57,-117.3545544,"""-""",-7.22,不分配不转增,1.26054379,-0.09,-0.63529384,872635,志强远大,12308424.58,15.92745814,"""-""",36.19118516
2018-03-08T00:00:00,-2491662.32,-495.14450031,"""-""",-17.99,不分配不转增,1.22961993,-0.24,-0.7877316,871169,蓝耘科技,128068246.06,14.87590384,"""-""",15.7757693
2018-02-28T00:00:00,4693513.4,-21.21231903,"""-""",5.86,不分配不转增,1.22329208,0.07,-0.47849456,833995,黄河文化,36143179.91,6.53461434,"""-""",44.98369278
2018-02-28T00:00:00,1151366.4,-90.19838088,"""-""",1.9,10派0.1658,2.5617376,0.05,0.58639544,833574,爱知之星,47409113.21,-27.86233628,"""-""",59.25999718
2018-02-28T00:00:00,65453971.86,-35.25294058,"""-""",8.96,10派2,3.46072426,0.33,0.29602667,831710,昊方机电,989787975.38,20.93259222,"""-""",24.88304688
2018-02-28T00:00:00,55146114.19,100.27895427,"""-""",12.1,不分配不转增,3.11040678,0.35,0.14576009,831173,泰恩康,448822394.84,23.03355694,"""-""",39.35382863
2018-02-28T00:00:00,8176671.37,-68.47737256,"""-""",5.72,不分配不转增,2.13207872,0.14,0.45778294,830946,森萱医药,184095512.14,1.65573645,"""-""",30.61351909
2018-02-28T00:00:00,40770055.45,-1.66610343,"""-""",11.16,10派1.3,1.56340348,0.17,0.16569766,430555,英派瑞,414044874.68,20.54619542,"""-""",26.66979281
2018-02-28T00:00:00,-4335114.48,-100.45006123,20.0088,-13.09,不分配不转增,0.1088425,-0.02,-0.0311072,400030,北科5,90256.45,"""-""",-157.0732,"""-"""
2018-02-14T00:00:00,366772293.62,-43.7542621,184.1054,10.68,不分配不转增,1.93340366,0.2,2.82186159,600675,中华企业,7658970284.82,-46.09546169,142.9765,21.30291753
2018-02-14T00:00:00,3169006.41,112.02254244,611.0685,0.04,不分配不转增,0.1966249,0.01,0.11534771,600556,ST慧球,65825072.43,40.40557679,52.1105,23.31843364
2018-02-14T00:00:00,750052987.67,3.40180161,-56.3436,"""-""",,9.1572252,0.5389,"""-""",600037,歌华有线,2687864492.34,0.86430264,44.3835,27.26591619
2018-02-14T00:00:00,28858004.96,202.16385594,496.8044,168.91,不分配不转增,0.08023274,0.08,0.02193105,600678,四川金顶,184964514.86,108.11364227,55.4608,27.13721922
2018-02-14T00:00:00,261222758.44,10.87055343,38.6123,7.39,10转3,1.7414728,0.12,0.03408553,600226,瀚叶股份,1317429354.06,31.02344427,26.0457,23.7816893
2018-01-18T00:00:00,254001751.9,115.08304335,"""-""",30.74,10派2.5,3.89162427,1.06,0.48985687,833708,捷佳伟创,1242779298.56,49.50900879,"""-""",39.61073997
2018-01-18T00:00:00,164268476.01,11.19437496,92.7396,"""-""",,6.53537874,0.8,"""-""",603968,醋化股份,1661034596.97,24.89832782,31.9454,19.47270057
2018-01-18T00:00:00,165012287.55,9.88614445,66.8096,"""-""",,3.6512288,0.61,"""-""",603239,浙江仙通,731038761.41,24.74717532,70.5296,43.79579715
2018-03-06T00:00:00,458661846.58,68.75261488,37.9734,10.96,10派0.35,3.42484388,0.3391,0.14364302,002121,科陆电子,4376025786.02,38.39841202,22.4595,29.89404669
2018-02-10T00:00:00,61551527.52,107.54086356,364.1056,982.14,不分配不转增,0.09674298,0.15,0.70515152,600423,*ST柳化,1830073678.93,-11.86336883,26.3694,5.42167956
2018-02-10T00:00:00,94853828.23,133.52279172,83.0079,4.59,10派0.2,2.82217596,0.13,0.13528538,600360,华微电子,1634890299.33,17.12393655,18.9254,20.69804821
2018-02-10T00:00:00,1611355062.54,22.74859809,-49.9826,5.01,10派0.6,3.53950281,0.17,0.19560773,600219,南山铝业,17067880799.46,29.02954072,14.9937,22.58327488
2018-02-01T00:00:00,24005972.23,10.00100637,-150.3538,"""-""",,2.29684596,0.1,"""-""",603703,盛洋科技,858653067.15,84.12999927,26.5905,19.7446479
2018-02-01T00:00:00,401967285.28,92.93134355,117.4775,18.11,不分配不转增,4.53700499,0.77,0.69222815,002258,利尔化学,3083547891.99,55.55384398,57.355,28.73879383
2018-03-10T00:00:00,39431424.72,178.65535258,-43.0123,3.21,不分配不转增,1.34619874,0.0426,-0.09269615,002379,宏创控股,1446495313.47,48.0365323,-3.8621,3.67407593
2018-03-10T00:00:00,578042928.12,31.02089251,-1.9395,13.59,10派1,2.77451589,0.35,0.50644855,002056,横店东磁,6010098429.44,27.59152823,2.1698,23.15095033
2018-03-10T00:00:00,80796667.87,-34.13036739,-33.0117,2.73,10派0.2,3.55971158,0.0958,0.71429632,000514,渝开发,1040852829.06,52.47785431,78.0109,24.32517649
2018-03-10T00:00:00,305551094.9,66.64870275,-12.224,9.49,10派1.5,5.29510399,0.49,0.63010834,601137,博威合金,5757801128.08,35.71151351,1.6657,13.82286766
2018-03-10T00:00:00,39431424.72,178.65535258,-43.0123,3.21,不分配不转增,1.34619874,0.0426,-0.09269615,002379,宏创控股,1446495313.47,48.0365323,-3.8621,3.67407593
2018-03-10T00:00:00,578042928.12,31.02089251,-1.9395,13.59,10派1,2.77451589,0.35,0.50644855,002056,横店东磁,6010098429.44,27.59152823,2.1698,23.15095033
2018-03-10T00:00:00,80796667.87,-34.13036739,-33.0117,2.73,10派0.2,3.55971158,0.0958,0.71429632,000514,渝开发,1040852829.06,52.47785431,78.0109,24.32517649
2018-03-08T00:00:00,49264568.5,50.33856858,"""-""",29.97,10派2,8.1461043,1.66,0.68531035,870077,小狗电器,695524894.26,34.87390724,"""-""",46.41268198
2018-03-08T00:00:00,37308631.14,177.90126854,"""-""",30.65,不分配不转增,1.75479347,0.47,0.27182247,838285,瑞诚股份,681246207.55,87.3234193,"""-""",13.33763352
